DOI,title,year,journal,grade,reason,source_url,candidate_fingerprint,extracted_at_utc,sample_state,sample_norm,LOI_pct,LOI_uncertainty_pct,atmosphere,heating_rate_C_min,R650_pct,source_location,evidence,direct_numeric_use,pair_key,T1_C,Tmax1_C,R800_pct,R600_pct,T5_C,Tonset_C,Tmax2_C,T10_C,T20_C,T50_C
10.3390/molecules24101947,Preparation of Ion-Exchanged TEMPO-Oxidized Celluloses as Flame Retardant Products,2019,Molecules,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6571781,72cbf5fd7965bafc0c6c,2026-09-24T01:48:17.473736+00:00,cellulose-COOZn,cellulose-coozn,34.0,,,10.0,,LOI table: Table 3 The result of LOI of cellulose and TOC.; TG table: Table 2 Microscale combustion calorimetry (MCC) data of cellulose and TOC.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/molecules24101947||cellulose-COOZn||||10,,,,35.51,,,,,,
10.3390/molecules24101947,Preparation of Ion-Exchanged TEMPO-Oxidized Celluloses as Flame Retardant Products,2019,Molecules,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6571781,72cbf5fd7965bafc0c6c,2026-09-24T01:48:17.473754+00:00,cellulose-COOMg,cellulose-coomg,27.0,,,10.0,,LOI table: Table 3 The result of LOI of cellulose and TOC.; TG table: Table 2 Microscale combustion calorimetry (MCC) data of cellulose and TOC.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/molecules24101947||cellulose-COOMg||||10,,,,28.55,,,,,,
10.3390/molecules24101947,Preparation of Ion-Exchanged TEMPO-Oxidized Celluloses as Flame Retardant Products,2019,Molecules,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6571781,72cbf5fd7965bafc0c6c,2026-09-24T01:48:17.473772+00:00,cellulose-COOCa,cellulose-cooca,25.0,,,10.0,,LOI table: Table 3 The result of LOI of cellulose and TOC.; TG table: Table 2 Microscale combustion calorimetry (MCC) data of cellulose and TOC.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/molecules24101947||cellulose-COOCa||||10,,,,32.65,,,,,,
10.3390/molecules24101947,Preparation of Ion-Exchanged TEMPO-Oxidized Celluloses as Flame Retardant Products,2019,Molecules,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6571781,72cbf5fd7965bafc0c6c,2026-09-24T01:48:17.473790+00:00,cellulose-COONa,cellulose-coona,27.0,,,10.0,,LOI table: Table 3 The result of LOI of cellulose and TOC.; TG table: Table 2 Microscale combustion calorimetry (MCC) data of cellulose and TOC.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/molecules24101947||cellulose-COONa||||10,,,,29.73,,,,,,
10.3390/molecules24101947,Preparation of Ion-Exchanged TEMPO-Oxidized Celluloses as Flame Retardant Products,2019,Molecules,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC6571781,72cbf5fd7965bafc0c6c,2026-09-24T01:48:17.473807+00:00,cellulose-COOBa,cellulose-cooba,25.0,,,10.0,,LOI table: Table 3 The result of LOI of cellulose and TOC.; TG table: Table 2 Microscale combustion calorimetry (MCC) data of cellulose and TOC.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/molecules24101947||cellulose-COOBa||||10,,,,35.89,,,,,,
10.1021/acsomega.2c01870,Investigation and Optimization of Vacuum Plasma Treatment of PA66 Fabric for Reduced Fire Retardant Consumption,2022,ACS Omega,C,No structured open-full-text tables could be parsed.,https://europepmc.org/articles/PMC9244904,5df2c486bfa8ec308ca4,2026-09-24T01:48:20.156330+00:00,,,,,,,,,,,,,,,,,,,,,
10.1021/acsomega.5c00281,Application of Novel Triazolium-Containing Hydrogels to Cotton Fabrics: Evaluation of Their Flame Retardancy and Antibacterial Properties,2025,ACS Omega,C,No structured open-full-text tables could be parsed.,https://europepmc.org/articles/PMC12138650,f714c3c4b9f8dd775d1b,2026-09-24T01:48:21.797039+00:00,,,,,,,,,,,,,,,,,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615342+00:00,PET,pet,21.2,0.2,air,,,LOI table: The flammability of modified PET polyester; TG table: The TGA and DTG of copolyester (air atmospheres),Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PET||air||,,556.7,,,370.3,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615365+00:00,PET,pet,21.2,0.2,,,,LOI table: The flammability of modified PET polyester; TG table: The TG-DSC data of copolyester containing phosphorus–silica,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PET||||,,445.4,,,422.1,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615395+00:00,PETP-1Si,petp-1si,32.8,0.2,air,,,LOI table: The flammability of modified PET polyester; TG table: The TGA and DTG of copolyester (air atmospheres),Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP-1Si||air||,,557.2,,,380.0,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615411+00:00,PETP-1Si,petp-1si,32.8,0.2,,,,LOI table: The flammability of modified PET polyester; TG table: The TG-DSC data of copolyester containing phosphorus–silica,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP-1Si||||,,455.2,,,424.4,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615421+00:00,PETP-2Si,petp-2si,33.8,0.1,air,,,LOI table: The flammability of modified PET polyester; TG table: The TGA and DTG of copolyester (air atmospheres),Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP-2Si||air||,,555.1,,,380.9,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615437+00:00,PETP-2Si,petp-2si,33.8,0.1,,,,LOI table: The flammability of modified PET polyester; TG table: The TG-DSC data of copolyester containing phosphorus–silica,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP-2Si||||,,450.1,,,419.9,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615472+00:00,PETP,petp,31.9,0.2,air,,,LOI table: The mechanical properties and LOI of copolymers fiber; TG table: The TGA and DTG of copolyester (air atmospheres),Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP||air||,,565.8,,,386.5,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615479+00:00,PETP,petp,31.9,0.2,,,,LOI table: The mechanical properties and LOI of copolymers fiber; TG table: Cure analysis of the prepared samples based on nonisothermal DSC data,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP||||,,,,,,82.1,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615488+00:00,PETP-3Si,petp-3si,34.1,0.1,air,,,LOI table: The mechanical properties and LOI of copolymers fiber; TG table: The TGA and DTG of copolyester (air atmospheres),Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP-3Si||air||,,553.7,,,381.2,,,,,
10.1039/d1ra07410e,Preparation and thermal cross-linking mechanism of co-polyester fiber with flame retardancy and anti-dripping by in situ polymerization,2021,RSC Advances,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC8978624,ffb3c41c1d80f6f6caad,2026-09-24T01:48:23.615504+00:00,PETP-3Si,petp-3si,34.1,0.1,,,,LOI table: The mechanical properties and LOI of copolymers fiber; TG table: The TG-DSC data of copolyester containing phosphorus–silica,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.1039/d1ra07410e||PETP-3Si||||,,455.3,,,422.9,,,,,
10.3390/ma16237347,An Analysis of the Performance and Comfort Properties of Fire-Protective Material by Using Inherently Fire-Retardant Fibers and Knitting Structures,2023,Materials,C,"Structured LOI/TG tables found, but no exact sample-state match was established.",https://europepmc.org/articles/PMC10707135,4838deaf21b8dcc8170b,2026-09-24T01:48:30.607163+00:00,,,,,,,,,,,,,,,,,,,,,
10.3390/polym14163414,Zinc Oxide Nanoparticles (ZnO NPs) and N-Methylol Dimethyl Phosphonopropion Amide (MDPA) System for Flame Retardant Cotton Fabrics,2022,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9416732,a0449dc1486809a32d62,2026-09-24T01:48:52.264862+00:00,Sample A,samplea,23.5,,,10.0,,"LOI table: Table 9 Results of Zn contents, P contents, flammability test, LOI, bacterial reduction, and UPF after different wash cycles.; TG table: Table 3 Thermal characteristics of pristine cotton and developed samples.",Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym14163414||Sample A||||10,,68.47,,30.91,,280.34,,,,
10.3390/polym14163414,Zinc Oxide Nanoparticles (ZnO NPs) and N-Methylol Dimethyl Phosphonopropion Amide (MDPA) System for Flame Retardant Cotton Fabrics,2022,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9416732,a0449dc1486809a32d62,2026-09-24T01:48:52.264872+00:00,Sample B,sampleb,20.4,,,10.0,,"LOI table: Table 9 Results of Zn contents, P contents, flammability test, LOI, bacterial reduction, and UPF after different wash cycles.; TG table: Table 3 Thermal characteristics of pristine cotton and developed samples.",Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym14163414||Sample B||||10,,67.11,,24.25,,295.18,,,,
10.3390/polym14163414,Zinc Oxide Nanoparticles (ZnO NPs) and N-Methylol Dimethyl Phosphonopropion Amide (MDPA) System for Flame Retardant Cotton Fabrics,2022,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9416732,a0449dc1486809a32d62,2026-09-24T01:48:52.264890+00:00,Sample 23,sample23,29.6,,,10.0,,"LOI table: Table 9 Results of Zn contents, P contents, flammability test, LOI, bacterial reduction, and UPF after different wash cycles.; TG table: Table 3 Thermal characteristics of pristine cotton and developed samples.",Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym14163414||Sample 23||||10,,70.21,,38.17,,266.07,,,,
10.1002/vnl.22060,Synergistic flame retardant modification of bio‐based nylon 56 by graphitic carbon nitride and melamine cyanurate,2023,Journal of Vinyl and Additive Technology,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1002/vnl.22060,0d54ab54f6cc65617f3b,2026-09-24T01:48:54.736776+00:00,,,,,,,,,,,,,,,,,,,,,
10.48130/emst-0025-0024,Bio-based L-lysine phosphate/dicyandiamide/silica sol composite system for highly efficient green flame retardancy of cotton fabrics,2025,Emergency Management Science and Technology,C,No structured open-full-text tables could be parsed.,https://doi.org/10.48130/emst-0025-0024,15892d290550b902a74f,2026-09-24T01:48:55.086170+00:00,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apsadv.2021.100202,Chitosan-metal oxide nanoparticle hybrids in developing bi-functional polyamide 66 textiles with enhanced flame retardancy and wettability,2021,Applied Surface Science Advances,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1016/j.apsadv.2021.100202,e96a610989e62c6e6328,2026-09-24T01:48:55.432652+00:00,,,,,,,,,,,,,,,,,,,,,
10.1002/adma.202310023,Robust and Flame‐Retardant Zylon Aerogel Fibers for Wearable Thermal Insulation and Sensing in Harsh Environment,2023,Advanced Materials,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1002/adma.202310023,613e3e50ded161c13352,2026-09-24T01:48:55.824472+00:00,,,,,,,,,,,,,,,,,,,,,
10.21203/rs.3.rs-702994/v1,Superamphiphobic and Flame-Resistant Cotton Fabrics for Protective Clothing,2021,Research Square,C,No structured open-full-text tables could be parsed.,https://doi.org/10.21203/rs.3.rs-702994/v1,04a0535f8cba98b2432f,2026-09-24T01:48:56.204770+00:00,,,,,,,,,,,,,,,,,,,,,
10.1002/app.70241,"Preparation and Characterization of Zinc Phosphinate Flame Retardant Masterbatch on Polyester Fibers' Thermal, Rheological, Physical and Mechanical Properties",2025,Journal of Applied Polymer Science,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1002/app.70241,e6e3cf5aab701f07fcb4,2026-09-24T01:48:56.897097+00:00,,,,,,,,,,,,,,,,,,,,,
10.1186/s44147-026-01054-y,Advances in the thermal properties of Nomex honeycomb composites,2026,Journal of Engineering and Applied Science,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1186/s44147-026-01054-y,07cfaabee397ba30c85f,2026-09-24T01:48:57.238741+00:00,,,,,,,,,,,,,,,,,,,,,
10.1016/j.polymertesting.2022.107595,Sustainable modification of polyamide 6 fabric by Maillard reaction product for mitigating fire hazards and molten-dripping,2022,Polymer Testing,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1016/j.polymertesting.2022.107595,545b8f3b10129fdcac1a,2026-09-24T01:48:57.599091+00:00,,,,,,,,,,,,,,,,,,,,,
10.1016/j.carpta.2025.101006,Enhancing the flame resistance of cotton via N-acryloylglycine-based chemical functionalization,2025,Carbohydrate Polymer Technologies and Applications,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1016/j.carpta.2025.101006,c0290e2ea83669a43804,2026-09-24T01:48:57.934063+00:00,,,,,,,,,,,,,,,,,,,,,
10.1002/adfm.202425093,"A Facile Strategy Based on Ionic Liquids to Modulate the Antibacterial, Flame‐Retardant, and Sensing Properties of Cotton Fabrics",2025,Advanced Functional Materials,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1002/adfm.202425093,e10b0592043717f20250,2026-09-24T01:48:58.295773+00:00,,,,,,,,,,,,,,,,,,,,,
10.1002/vnl.70083,Electrochemically Exfoliated Graphene Synergized With MPP / ADP for In Situ Polymerized Flame‐Retardant PA6 Composites,2026,Journal of Vinyl and Additive Technology,C,No structured open-full-text tables could be parsed.,https://doi.org/10.1002/vnl.70083,4c86b1fefe70b8242101,2026-09-24T01:48:58.724070+00:00,,,,,,,,,,,,,,,,,,,,,
10.3390/polym15010224,Thermal Degradation and Carbonization Mechanism of Fe-Based Metal-Organic Frameworks onto Flame-Retardant Polyethylene Terephthalate,2023,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9823990,09d0b6f0b47b4fc96c84,2026-09-24T01:48:59.799691+00:00,PET,pet,22.0,,N2,,,LOI table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.; TG table: Table 2 TG and DTG data of MIL-PET and MIL-P-PET composites.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym15010224||PET||N2||,,434.95,,,395.54,,,,,
10.3390/polym15010224,Thermal Degradation and Carbonization Mechanism of Fe-Based Metal-Organic Frameworks onto Flame-Retardant Polyethylene Terephthalate,2023,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9823990,09d0b6f0b47b4fc96c84,2026-09-24T01:48:59.799712+00:00,PET,pet,22.0,,air,,,LOI table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.; TG table: Table 2 TG and DTG data of MIL-PET and MIL-P-PET composites.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym15010224||PET||air||,,437.22,,,362.31,,,,,
10.3390/polym15010224,Thermal Degradation and Carbonization Mechanism of Fe-Based Metal-Organic Frameworks onto Flame-Retardant Polyethylene Terephthalate,2023,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9823990,09d0b6f0b47b4fc96c84,2026-09-24T01:48:59.799724+00:00,PET,pet,22.0,,,,,LOI table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.; TG table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym15010224||PET||||,32.6,,,,,,,,,
10.3390/polym15010224,Thermal Degradation and Carbonization Mechanism of Fe-Based Metal-Organic Frameworks onto Flame-Retardant Polyethylene Terephthalate,2023,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9823990,09d0b6f0b47b4fc96c84,2026-09-24T01:48:59.799734+00:00,0.2MIL-PET,0.2mil-pet,25.0,,N2,,,LOI table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.; TG table: Table 2 TG and DTG data of MIL-PET and MIL-P-PET composites.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym15010224||0.2MIL-PET||N2||,,439.46,,,399.03,,,,,
10.3390/polym15010224,Thermal Degradation and Carbonization Mechanism of Fe-Based Metal-Organic Frameworks onto Flame-Retardant Polyethylene Terephthalate,2023,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9823990,09d0b6f0b47b4fc96c84,2026-09-24T01:48:59.799742+00:00,0.2MIL-PET,0.2mil-pet,25.0,,air,,,LOI table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.; TG table: Table 2 TG and DTG data of MIL-PET and MIL-P-PET composites.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym15010224||0.2MIL-PET||air||,,431.95,,,381.03,,,,,
10.3390/polym15010224,Thermal Degradation and Carbonization Mechanism of Fe-Based Metal-Organic Frameworks onto Flame-Retardant Polyethylene Terephthalate,2023,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9823990,09d0b6f0b47b4fc96c84,2026-09-24T01:48:59.799751+00:00,0.6MIL-PET,0.6mil-pet,26.0,,N2,,,LOI table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.; TG table: Table 2 TG and DTG data of MIL-PET and MIL-P-PET composites.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym15010224||0.6MIL-PET||N2||,,436.92,,,394.35,,,,,
10.3390/polym15010224,Thermal Degradation and Carbonization Mechanism of Fe-Based Metal-Organic Frameworks onto Flame-Retardant Polyethylene Terephthalate,2023,Polymers,B,"Exact numeric pairing found, but TGA atmosphere or heating rate is ambiguous/missing.",https://europepmc.org/articles/PMC9823990,09d0b6f0b47b4fc96c84,2026-09-24T01:48:59.799759+00:00,0.6MIL-PET,0.6mil-pet,26.0,,air,,,LOI table: Table 3 Results of LOI and VFT tests for MIL-PET and MIL-P-PET composites.; TG table: Table 2 TG and DTG data of MIL-PET and MIL-P-PET composites.,Automatically extracted from structured open-full-text tables; sample states matched exactly after conservative normalization.,review,10.3390/polym15010224||0.6MIL-PET||air||,,429.22,,,388.61,,,,,
